Code,TotalPrice,Area,District,Floors,Address
11914597,6200,54.25,quan1,2,hemxehoi
11914494,15000,94.3,quan1,2,hem
11815558,9000,85,quan1,3,hemxehoi
11914375,13900,66.3,quan1,4,hem
11829767,15000,75.6,quan1,7,hemxehoi
11729814,15500,75,quan1,6,hem
11130404,12500,76.5,quan1,4,mattien
10401458,12000,68.4,quan1,4,hem
11758091,15000,64,quan1,5,hemxehoi
11914178,8500,62.9,quan1,2,hem
11914062,7900,52,quan1,2,hemxehoi
11911351,3800,54,quan1,2,hem
11913850,14500,52.8,quan1,5,hemxehoi
11913172,9500,80,quan1,4,hemxehoi
11762890,8500,61.23,quan1,4,hemxehoi
11912648,14000,133,quan1,3,hemxehoi
11912554,12500,96,quan1,4,hemxehoi
11912487,15500,52,quan1,6,hem
11912130,7900,40,quan1,3,hem
11516428,8500,106,quan1,3,hem
11229149,11500,76,quan1,4,hemxehoi
11405488,12800,96,quan1,2,hem
11816032,9000,92.4,quan1,4,hemxehoi
11911538,8800,74,quan1,2,hemxehoi
11824952,19000,96,quan1,4,hemxehoi
11825264,24500,109,quan1,6,hemxehoi
11909398,6100,58,quan1,2,hem
11911154,14200,64,quan1,4,mattien
11811582,24500,111,quan1,6,hemxehoi
11910923,13800,64,quan1,3,hemxehoi
11910547,14000,64.6,quan1,4,hem
10954485,12000,104.5,quan1,3,hem
11910380,16500,60,quan1,4,hemxehoi
11910191,9000,80,quan1,4,hemxehoi
11824466,13000,75,quan1,4,hem
11910048,16300,96,quan1,3,hem
11910043,8800,74,quan1,2,hemxehoi
11909599,7500,54.25,quan1,3,hem
11909509,12000,56,quan1,4,hemxehoi
11909356,3650,56.8,quan1,2,hem
11908919,15000,98.9,quan1,2,hemxehoi
11640939,25000,120,quan1,3,mattien
11300482,4950,47.4,quan1,3,hemxehoi
11643996,17500,96,quan1,5,hem
11584606,12200,120,quan1,3,hem
11644788,15000,90,quan1,5,hem
11569007,6300,54.4,quan1,2,hemxehoi
11812558,14500,71.4,quan1,3,hemxehoi
11812578,14500,71.4,quan1,3,hemxehoi
11671554,12000,91,quan1,5,hemxehoi
11748725,14000,69.7,quan1,4,hem
11110213,9600,67.5,quan1,3,hem
11016665,12000,108,quan1,3,hemxehoi
10683616,11800,120,quan1,2,hemxehoi
10897701,9500,79.8,quan1,4,hemxehoi
10799545,7900,52,quan1,2,hemxehoi
11826346,23000,120,quan1,5,mattien
11903318,7800,46.8,quan1,4,hemxehoi
11903283,8000,61.2,quan1,4,hemxehoi
11815691,12000,120,quan1,3,hemxehoi
11819442,10200,52,quan1,2,hem
11902434,6500,54.6,quan1,4,hemxehoi
11374676,7500,52,quan1,4,hemxehoi
11743284,15000,84,quan1,3,hem
11901323,4100,54,quan1,2,hem
11405217,11500,56,quan1,4,hem
11234792,4500,40,quan1,2,hem
11235068,8800,60,quan1,3,hem
11235139,8500,56,quan1,3,hem
11902006,34000,84,quan1,4,nhahaimattien
11271923,8200,60,quan1,2,hem
11269859,6500,47,quan1,3,hem
11234898,7800,47,quan1,4,hem
11120763,9500,67.2,quan1,3,hem
11737011,15000,100,quan1,3,hemxehoi
11901644,11000,120,quan1,4,hem
11901019,6800,38.11,quan1,4,hem
11900712,10000,84,quan1,4,hem
11900582,7900,54,quan1,2,hem
11297010,21945,209,quan1,2,hemxehoi
11597220,14000,80,quan1,4,hem
11899781,23000,112.5,quan1,5,hem
11809254,9000,50,quan1,3,hem
11605506,25000,184,quan1,2,hemxehoi
11605584,25000,184,quan1,2,hemxehoi
11813560,26000,105.3,quan1,4,hem
11898909,1500,32,quan1,2,hem
10937164,8000,52,quan1,4,hem
11809334,11900,70,quan1,5,hemxehoi
11898561,22500,107.2,quan1,4,hem
10611538,15000,80,quan1,5,hem
10416351,12000,114,quan1,2,hem
10406297,13000,51.6,quan1,7,hem
10818192,11000,70,quan1,4,hemxehoi
10283118,7000,72,quan1,3,hemxehoi
10378597,11700,80,quan1,4,hemxehoi
11078502,24500,90,quan1,7,hem
11895452,12500,74.8,quan1,6,hem
11804627,25000,114,quan1,5,hem
11895630,14000,56,quan1,5,hemxehoi
11889113,6500,47,quan1,3,hemxehoi
11895472,14500,76.5,quan1,4,mattien
11894897,9000,92.4,quan1,4,hemxehoi
11895407,16000,81,quan1,3,hem
5086908,2820,49.5,quan1,2,hemxehoi
11889105,6500,47,quan1,3,hemxehoi
11797873,6800,72,quan1,2,hem
11892439,13500,98.7,quan1,2,mattien
11809518,11800,87.1,quan1,4,hemxehoi
11640923,12000,120,quan1,3,hemxehoi
11409812,4600,46.8,quan1,4,hemxehoi
11889534,7500,72,quan1,5,hemxehoi
11049502,11500,87,quan1,4,hem
11551443,11300,76,quan1,5,hem
11801497,15500,72.8,quan1,6,hem
11809531,15000,80,quan1,3,hemxehoi
11809564,15000,75,quan1,3,hemxehoi
11809701,9800,67.5,quan1,3,hem
11778446,13000,120,quan1,3,hem
11888800,8800,65,quan1,2,hem
11511773,11000,77.4,quan1,3,hemxehoi
11511749,16000,64,quan1,5,hem
11511733,12000,76,quan1,4,hem
11809728,15100,78.4,quan1,5,hemxehoi
10961034,18000,108,quan1,4,hem
11803519,12500,92,quan1,3,hem
11875733,720,7,quan1,1,hem
11061827,18000,84,quan1,6,mattien
10658324,17000,39.77,quan1,4,hem
11632365,5700,49.5,quan1,4,hem
11749662,7900,45.6,quan1,1,hemxehoi
11728393,25000,108,quan1,7,hem
11749673,7900,45.6,quan1,1,hemxehoi
11887582,10500,56,quan1,4,hemxehoi
11886434,4700,41.8,quan1,3,hem
11886992,15000,98.9,quan1,2,hem
11886914,24500,182,quan1,3,hem
11886735,15000,98.9,quan1,2,hemxehoi
11886489,15000,98.9,quan1,2,hemxehoi
11886355,25000,108,quan1,3,hem
11886331,15500,49.45,quan1,6,hem
11886325,14500,80,quan1,4,hem
10916095,31000,195,quan1,3,hemxehoi
11886265,15000,98.9,quan1,2,hemxehoi
11886227,24500,114,quan1,6,mattien
11882236,7500,50,quan1,1,hemxehoi
11882207,2900,26.1,quan1,3,hem
11883018,4200,51,quan1,3,hem
11885191,8000,53.3,quan1,2,hemxehoi
11548628,14500,144,quan1,2,hemxehoi
11683644,12000,80,quan1,4,hemxehoi
11683398,11500,77.4,quan1,4,hemxehoi
11682278,12000,87.1,quan1,4,hem
11682199,9000,61.5,quan1,4,hem
11681627,9500,66,quan1,4,hem
11488074,7700,73.8,quan1,2,hemxehoi
11548852,7900,52,quan1,2,hemxehoi
11549084,9500,66,quan1,3,hem
11585558,23000,67.5,quan1,6,hemxehoi
11595748,19000,75,quan1,6,hemxehoi
11884746,5500,51,quan1,3,hemxehoi
11684451,1150,16,quan1,2,hem
11884319,9800,60,quan1,3,hemxehoi
11802086,13500,64,quan1,3,hemxehoi
11883282,12500,52,quan1,5,hemxehoi
11883241,14000,63.9,quan1,3,hem
11710847,7500,42.9,quan1,3,hem
11749384,12500,52,quan1,5,hemxehoi
11882782,3200,43.05,quan1,2,hem
11881811,2100,27.9,quan1,2,hem
11640374,11200,80,quan1,4,hemxehoi
11669755,10000,64,quan1,4,hem
11881682,8500,64,quan1,3,hemxehoi
11881567,8500,64,quan1,2,mattien
11881515,8500,64,quan1,2,mattien
10932929,50000,220,quan1,2,hem
11881299,3450,33.75,quan1,3,hem
11881198,3000,50,quan1,2,hem
11628787,7800,69,quan1,3,hemxehoi
11881077,8800,65,quan1,2,hem
11559907,6500,68,quan1,2,hem
11568500,9600,70,quan1,4,hemxehoi
11879026,8000,68,quan1,3,hemxehoi
11803028,8000,68,quan1,3,hemxehoi
11878641,11700,87.1,quan1,4,hemxehoi
11035875,9000,61.5,quan1,4,hem
11783595,21000,160,quan1,3,mattien
11783669,20500,96,quan1,5,hem
9869929,11500,84,quan1,4,hem
10941894,7780,52,quan1,6,hemxehoi
11878443,11000,120,quan1,4,hemxehoi
11878411,12000,68,quan1,5,hemxehoi
11720287,25000,111,quan1,6,mattien
11488490,18000,192,quan1,6,hemxehoi
11049554,7900,52,quan1,2,hem
11708443,8500,56,quan1,4,hemxehoi
11707277,10400,56,quan1,3,hemxehoi
11238730,13200,80,quan1,6,hemxehoi
11667333,11000,108,quan1,2,hemxehoi
11878024,24500,182,quan1,3,hem
11695644,15500,116,quan1,3,hemxehoi
11641257,10100,69,quan1,4,hem
11456659,10900,96,quan1,3,hemxehoi
11876925,19000,80,quan1,5,hem
10818254,11000,70,quan1,4,hemxehoi
10327707,8500,75,quan1,2,hem
10299470,14000,126,quan1,3,hemxehoi
10308777,12000,90,quan1,4,hemxehoi
11337028,24000,109,quan1,6,hem
11700773,34200,77.28,quan1,4,hem
11706780,1450,17,quan1,2,hem
11872079,14500,80,quan1,2,hemxehoi
11368467,11800,87.1,quan1,4,hem
11872017,12400,84,quan1,3,hem
11858087,8500,42,quan1,3,hemxehoi
11382462,14000,74.2,quan1,4,hem
11871407,11550,87,quan1,4,hemxehoi
11747779,14500,94.3,quan1,3,hemxehoi
11751152,14500,98,quan1,2,mattien
11764050,14500,80,quan1,2,hemxehoi
11871077,23000,250,quan1,2,hemxehoi
11870130,25000,112,quan1,3,hemxehoi
11869999,12000,80,quan1,5,hemxehoi
11796694,14500,78.4,quan1,3,hem
11869860,820,11.2,quan1,2,hem
11564361,13500,75,quan1,4,hem
11869706,14300,81.2,quan1,4,hem
10863656,27000,98.7,quan1,5,mattien
11868883,6000,59.99,quan1,3,hem
11667334,13500,59.2,quan1,4,hem
11643863,5500,49.56,quan1,4,hem
11089063,7900,64,quan1,4,hemxehoi
10378187,12800,105,quan1,2,hem
10299581,19000,184,quan1,2,hemxehoi
10611532,15000,80,quan1,5,hem
11133134,6400,35,quan1,4,hem
11868412,3300,23.63,quan1,3,hem
11777925,3500,27,quan1,4,hem
11780217,3250,27,quan1,4,hem
11867839,6200,54.25,quan1,2,hemxehoi
10818604,8000,50,quan1,4,hemxehoi
10964469,12500,76,quan1,3,hemxehoi
11534068,16000,81,quan1,3,hem
10818624,8000,64,quan1,4,hemxehoi
10954298,11500,84,quan1,3,hem
11124170,9000,66.3,quan1,3,hemxehoi
11165130,4600,36,quan1,4,hemxehoi
11165048,6300,68,quan1,2,hemxehoi
11164904,7900,52,quan1,1,hemxehoi
11866999,25000,112,quan1,3,hemxehoi
11605669,11000,88,quan1,5,hem
11606053,6200,72,quan1,1,hem
11771743,6500,63.4,quan1,2,hemxehoi
11153262,8500,55,quan1,4,hem
11771969,5700,30,quan1,6,hem
11728106,14000,140,quan1,2,hemxehoi
11728168,14000,145.8,quan1,2,hemxehoi
8889958,11800,100,quan1,4,hemxehoi
11701515,8700,75.6,quan1,3,hemxehoi
11656087,10300,71.4,quan1,4,hemxehoi
10948633,27000,98.7,quan1,5,mattien
11775312,9200,92,quan1,3,hemxehoi
11753283,15000,80,quan1,4,hem
11778880,13000,120,quan1,3,hemxehoi
11861890,6300,52,quan1,4,hemxehoi
11750330,9000,94.3,quan1,4,hem
11750316,9000,80,quan1,5,hem
11750327,9000,92,quan1,5,hem
11437362,7900,72,quan1,2,hemxehoi
11860792,14500,80,quan1,3,hem
11613655,19000,231,quan1,2,hem
11759276,7900,58.5,quan1,2,hem
11759067,8800,73.8,quan1,1,hemxehoi
11759346,8800,77,quan1,2,hemxehoi
11663753,8800,73.8,quan1,2,hemxehoi
11150618,8500,56,quan1,4,hem
11540580,10000,67.5,quan1,3,hemxehoi
11596204,7800,58.5,quan1,3,hem
11596076,7900,43,quan1,2,hemxehoi
11455053,13500,73.1,quan1,4,hemxehoi
11454989,11000,60,quan1,4,hemxehoi
11453918,6900,52,quan1,4,hemxehoi
11856255,26000,105.3,quan1,4,hem
11842376,4100,51.6,quan1,3,hem
11371746,7900,72,quan1,2,hemxehoi
11845970,6500,52,quan1,4,hemxehoi
11836653,6600,53,quan1,2,hemxehoi
11838351,15000,90,quan1,5,hemxehoi
11833981,4200,38,quan1,4,mattien
11833490,7600,52,quan1,2,hemxehoi
11699494,5500,48.64,quan1,3,hemxehoi
11537028,5000,45.1,quan1,1,hemxehoi
11826795,12500,59,quan1,4,hemxehoi
11654440,11000,89,quan1,4,hem
11804077,13000,59.2,quan1,3,hemxehoi
11799737,4700,43.06,quan1,2,hemxehoi
11640475,9500,84,quan1,3,hemxehoi
11377181,6500,24.7,quan1,4,hemxehoi
11778455,3950,67,quan1,1,hem
11613682,7500,68,quan1,2,hem
11758326,9500,52.8,quan1,3,hem
11740350,31000,160,quan1,6,hem
11734048,6500,56,quan1,3,hem
10964528,7900,52,quan1,2,hemxehoi
11683994,3400,36,quan1,2,hem
11676133,5500,25,quan1,1,hem
11655269,12000,62.9,quan1,4,hemxehoi
11793708,2800,30,quan1,2,hem
11793686,3650,89,quan1,2,hem
11791371,7500,148,quan1,3,hem
11828847,7000,66.5,quan1,2,hem
11795093,6900,47.6,quan1,3,hemxehoi
11726423,12500,87,quan1,4,hemxehoi
11622161,30000,128,quan1,4,hemxehoi
11494714,8500,110.2,quan1,3,hem
11447013,2900,26.1,quan1,3,hem
11083629,5500,49.24,quan1,3,hem
10873484,1300,15.8,quan1,2,hem
10742173,7500,58.7,quan1,3,hem
10733028,1270,15.4,quan1,2,hem
10743805,15500,300,quan1,2,hem
10614837,5300,37,quan1,3,hem
10534943,3800,47,quan1,3,hem
10520353,8600,64.6,quan1,3,hem
10506083,3800,24,quan1,4,hemxehoi
10413268,1200,19.8,quan1,3,hem
10414634,1200,25,quan1,2,hem
10421505,2300,120,quan1,3,hem
11882356,10400,128,quan2,3,hemxehoi
11799807,2500,73.5,quan2,1,hemxehoi
11665275,6900,88,quan2,4,mattien
11934727,6300,70,quan2,3,mattien
11935320,8000,100,quan2,2,mattien
11837166,20000,200,quan2,3,hem
11937446,3750,90,quan2,2,mattien
11851456,3500,57.75,quan2,4,hemxehoi
11279701,22000,253,quan2,4,hem
11600342,4600,80,quan2,3,hem
11927276,3000,58,quan2,3,hem
11925884,6800,110,quan2,2,hem
11921805,1950,44,quan2,2,hem
11833433,3500,85,quan2,3,hem
11917444,2500,52,quan2,2,hemxehoi
10980663,4200,95,quan2,3,hem
11911030,2800,70.8,quan2,1,hemxehoi
11482255,2600,54,quan2,2,hem
11901934,1350,34.4,quan2,2,hem
11814508,2730,84,quan2,2,mattien
11675924,17500,236,quan2,3,hem
11608179,2800,52,quan2,2,hem
11615136,8700,80,quan2,4,mattien
10981531,3050,108,quan2,2,hem
11883961,4800,70,,3,hemxehoi
11647922,3800,95,quan2,2,hemxehoi
11406710,3950,88,quan2,3,hem
11546028,3300,51,quan2,3,hem
11798477,2800,55,quan2,2,hem
11717739,11000,118,quan2,2,mattien
11571004,3200,86,quan2,3,hem
11571040,3700,77,quan2,3,hemxehoi
11571577,3500,68,quan2,3,hemxehoi
11571672,3900,52,quan2,3,hemxehoi
11672305,2800,53.7,quan2,3,hemxehoi
11571659,2900,50,quan2,3,hemxehoi
11571613,2600,57,quan2,2,hemxehoi
11785729,3500,56,quan2,3,hem
11571635,3500,50,quan2,3,hemxehoi
11571648,2900,50,quan2,3,hemxehoi
11771833,7900,56.24,quan2,2,hem
11227187,2300,52,quan2,1,hem
11138502,1950,43.5,quan2,2,hem
11614821,2700,53,quan2,2,hem
11590452,3500,89.1,quan2,3,hemxehoi
11590501,3500,110,quan2,3,hemxehoi
11590597,2000,43.7,quan2,2,hemxehoi
11590645,1300,21,quan2,2,hemxehoi
11590670,3000,59.1,quan2,3,hemxehoi
11556162,3200,86,quan2,3,hem
11324518,3500,90,quan2,3,hem
11670733,2700,86,quan2,2,hem
11332228,4500,50,quan2,2,hem
11883094,5000,35,quan3,2,hem
11877754,12500,103.7,quan3,5,hemxehoi
11840646,26000,200,quan3,2,hem
11884175,10000,124,quan3,2,hem
11882049,12500,102,quan3,5,hemxehoi
11730193,7200,40,quan3,3,hem
11814627,26900,230,quan3,4,hem
11848268,8700,124,quan3,2,hemxehoi
10582268,12800,120,quan3,2,hem
11921233,10200,67,quan3,6,hemxehoi
11761321,8500,68,quan3,4,hemxehoi
11434379,5300,192.5,quan3,3,hem
11917312,10500,84,quan3,3,hemxehoi
11915097,4800,74,quan3,2,hem
11915697,4500,50,quan3,4,hemxehoi
11283812,5600,49,quan3,3,hemxehoi
11898102,12500,95,quan3,4,hemxehoi
11897000,2600,44,quan3,2,hem
11896932,2500,30.4,quan3,3,hem
11886367,12400,100,quan3,4,hem
11884642,6800,38.25,quan3,3,hemxehoi
11884822,10000,87,quan3,4,hem
11883870,5380,67.5,quan3,3,hem
11876089,3300,60,quan3,2,hem
11877334,11500,90,quan3,6,hem
11871472,11500,90,quan3,6,hem
11870906,7500,68,quan3,4,hemxehoi
11503157,30000,108,quan3,8,hemxehoi
11539721,15000,207,quan3,3,hemxehoi
11539657,21000,148.5,quan3,5,hemxehoi
11539682,7900,55,quan3,5,hemxehoi
11674084,6500,77.36,quan3,3,hemxehoi
11862159,12400,102,quan3,4,hemxehoi
11848469,6770,50,quan3,4,hemxehoi
10679247,5550,70,quan3,3,hem
11745664,12500,152,quan3,3,hem
11745626,12500,152,quan3,3,hem
11698194,14500,89.96,quan3,4,hem
11070389,20500,143,quan3,4,hem
11939907,6450,71.4,quan3,2,hemxehoi
11847320,16300,148.2,quan3,1,hem
11669600,10000,88,quan3,3,hem
11688850,14200,126,quan3,7,hem
11827778,12500,98,quan3,5,hem
11552666,12500,98,quan3,5,hemxehoi
11938641,3000,26,quan3,4,hem
11688295,9990,76.5,quan3,3,hem
11688392,9990,76.5,quan3,3,hem
11547798,12500,104,quan3,5,hemxehoi
11761404,10000,89.25,quan3,3,hemxehoi
11761365,10000,93.6,quan3,4,hemxehoi
11749878,32000,104.7,quan3,8,hemxehoi
11686236,10500,90,quan3,3,hem
11609295,10800,90,quan3,3,hemxehoi
11609040,10500,77,quan3,3,hem
11842656,10500,78,quan3,3,hem
11843351,20800,170,quan3,3,hem
11737547,4200,32,quan3,4,hem
11763753,3650,48,quan3,2,hem
